,,,,,,,,,,,
Yusmeri Ascanio,,,,,,,,,1,,1
Yudith Rojas,,,,,1,,,,,,1
Yoicy Rojas,,,,1,,,,,,,1
Yicell Silva,,,,,,1,,,,,1
Yesenia Quiroz,1,,,,,,,,,,1
Yenifer Gelvez,,,,,,,1,,,,1
Yasna Becerra,,,,,0,,,1,,,1
Yaritza Quezada,1,,,,,,,,,,1
Yaremi Retamal,,,,,,,,1,,,1
Yanine Rebolledo,,,,1,,,,,,,1
Yanina Rebolledo,,1,,,,,,,,,1
Yanina Leal,,,,1,,,,,,,1
Yanette Jorquera,,,,,,,,1,,,1
Viviana Acevedo,,,,,,,1,,,,1
Vilma Ruiz,,1,,,,,,,,,1
Valeria Rojas,1,,,,,,,,,,1
Valeria Lucca,,,,,,,,1,,,1
Valeria López,1,,,,,,,,,,1
Valentina Ratto,,,,1,,,,,,,1
Valentina Covarrubias,,,,1,,,,,,,1
Valentina Cares,,,,1,,,,,,,1
Tyare Ríos,,,,,1,,,,,,1
Tiare Vega,,,,1,,,,,,,1
Tiare Muñoz,,,,1,,,,,,,1
Thayra Moreira,,,,,,,,,1,,1
Tania Mella,,,1,,,,,,,,1
Tamara Mansilla,,,,,,,1,,,,1
Tais Silva,,,,,,,,1,,,1
Taís Morgenstein,,,,1,,,,,,,1
Tais Morgenstein,,,,,,,,1,,,1
Stephany Arriagada,,,,1,,,,,,,1
Stephanie Rojas,1,,,,,,,,,,1
Stephania Troncoso,,,,,,,,1,,,1
Steffany Contreras,,,,,,,,1,,,1
Stefany Leyton,,,,,1,,,,,,1
Sonia Chamorro,,,1,,,,,,,,1
Sofía Valderrama,,,,,,,,1,,,1
Sofía Godoy,,,,1,,,,,,,1
Sandy Álvarez,,,,,,,,1,,,1
Samantha Wiemberg,,1,,,,,,,,,1
Salomé Robledo,,,,,,,,1,,,1
Sabrina Clavijo,,,,,,,,1,,,1
Rocío Sáez,,,,,1,,,,,,1
Rocío González,,,,,,1,,,,,1
Rachel Padron,,,,,,,,,1,,1
Priscila Hidalgo,,,,,,,1,,,,1
Pía Ferkmann,,,,,1,,,,,,1
Pía Fehrman,,1,,,,,,,,,1
Paz Álvarez,,,,1,,,,,,,1
Paulette Marcell,,,,1,,,,,,,1
Paula Rossi,,1,,,,,,,,,1
Patricia Godoy,,,,1,,,,,,,1
Pamela Rodríguez,,1,,,,,,,,,1
Paloma Garay,1,,,,,,,,,,1
Ninozka Lekaroz,,1,,,,,,,,,1
Ninoska Hernández,,,1,,,,,,,,1
Nicole Tobar,,1,,,,,,,,,1
Nicole Plagemann,,,,1,,,,,,,1
Nicole Fabres,,,1,,,,,,,,1
Navarrete,1,,,,,,,,,,1
Natalia Pino,,,,,,,,,1,,1
Natalia Oyarce,,1,,,,,,,,,1
Natalia González,,,,1,,,,,,,1
Natalia Campos,,,,,,,,1,,,1
Natalia Bernal,,,,1,,,,,,,1
Natacha Pasten,,,,1,,,,,,,1
Naomi Chambe,,,,,1,,,,,,1
Nadia Toro,,,,1,,,,,,,1
Montserrat Salgado,,,,,,,1,,,,1
Montserrat Loyola,,,,,,,,,1,,1
Monserrat Navarrete,,1,,,,,,,,,1
Monserrat De La Fuente,,,,1,,,,,,,1
Monica Fariña,,,1,,,,,,,,1
Milenka Pávez,,,,,,,1,,,,1
Melissa Cepeda,,,,1,,,,,,,1
Matzury Agüero,,,1,,,,,,,,1
Maryorie Arias,,1,,,,,,,,,1
Martina Escudero,,,,,,,,,1,,1
Martina Córdova,,,,1,,,,,,,1
Marlin Retamales,1,,,,,,,,,,1
Mariela Almonacid,,1,,,,,,,,,1
Mariana Cano,,1,,,,,,,,,1
María Torres,,,,1,,,,,,,1
María José Saavedra,1,,,,,,,,,,1
María José Peña,,,,,,,,,1,,1
María José Godoy,,,,,,,,,1,,1
María Garrido,1,,,,,,,,,,1
María Castro,,,,,,1,,,,,1
María Cárcamo,,1,,,,,,,,,1
Marcela Perez,1,,,,,,,,,,1
Marcela Navarrete,1,,,,,,,,,,1
Marcela del Río,1,,,,,,,,,,1
Marcela Cortez,,,,,1,,,,,,1
Maite Tapia,,,,,,,1,,,,1
Maite Avello,,,,,,,,,1,,1
Macarena Rudisky,,1,,,,,,,,,1
Macarena Martínez,,,,,,,,,1,,1
Macarena Mansilla,,1,,,,,,,,,1
Macarena Barrera,,,1,,,,,,,,1
Loreto Muñoz,,,,1,,,,,,,1
Loreto Aravena,,,,,,1,,,,,1
Lorena Villarroel,,1,,,,,,,,,1
